Data from Philips_4000K_7,3W_1535Lumen_250ms_1__0__15-23-04-612.txt Node

Date: Thu Dec 18 15:23:04 CET 2025
User: Stefan
Spectrometer: ?
Trigger mode: 0
Integration Time (sec): 2,500000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
Wavelength [nm]	Power [W]
581	2.56267257257713e-09
582	2.54350141325105e-09
583	2.58191971860965e-09
584	2.53112269238262e-09
585	2.50911158367511e-09
586	2.5028735598402e-09
587	2.48445285845431e-09
588	2.46186395482982e-09
589	2.4378816373868e-09
590	2.39385963874135e-09
591	2.39823933502274e-09
592	2.40155634115035e-09
593	2.33744986743677e-09
594	2.3026087656908e-09
595	2.30204970290438e-09
596	2.24644308486211e-09
597	2.2806805476885e-09
598	2.2673662567712e-09
599	2.23097139151181e-09
600	2.19539096651735e-09
601	2.14597127117138e-09
602	2.17230101302579e-09
603	2.13975657507292e-09
604	2.13555891891828e-09
605	2.09990990161348e-09
606	2.07277920849372e-09
607	2.29950199590174e-09
608	2.86660816404719e-09
609	2.86213745743272e-09
610	2.57640631938738e-09
611	2.61942134784104e-09
612	3.46946417707223e-09
613	4.31206483703092e-09
614	3.93366378451366e-09
615	3.07468759653967e-09
616	2.48387124237345e-09
617	2.17539973410478e-09
618	2.14609235265763e-09
619	2.122251715236e-09
620	2.05881185551234e-09
621	1.99118515072644e-09
622	1.91352193988963e-09
623	1.96175688171499e-09
624	1.97514748542341e-09
625	1.99978755647588e-09
626	2.00818041901848e-09
627	2.0447476181014e-09
628	2.2809739651151e-09
629	3.51758360517567e-09
630	6.45215523969506e-09
631	6.78227412830546e-09
632	5.04318266117643e-09
633	3.73916276490325e-09
634	4.48458507116695e-09
635	5.04344311434116e-09
636	3.77261337332972e-09
637	2.4840271301271e-09
638	1.75636091467622e-09
639	1.32831928043086e-09
640	1.16834571326167e-09
641	1.1009832319185e-09
642	1.06130490739066e-09
643	1.02377801254746e-09
644	9.82441021260606e-10
645	1.03999145853446e-09
646	1.33221212784788e-09
647	1.85364109952535e-09
648	1.69055622997728e-09
649	1.29836717045943e-09
650	1.09573445722192e-09
651	9.65550336382153e-10
652	9.3942608414422e-10
653	8.47805705117966e-10
654	7.96914034397538e-10
655	7.60076039386681e-10
656	7.40147797881216e-10
657	7.07359103862796e-10
658	6.64886434368809e-10
659	6.38988166075271e-10
660	6.33546353017956e-10
661	5.96708757725989e-10
662	5.72367651677973e-10
663	5.4759046670047e-10
664	5.23310426549694e-10
665	5.07924056618868e-10
666	4.94714577962227e-10
667	4.82847200221975e-10
668	4.90502939171246e-10
669	4.94608308822399e-10
670	4.83975455789079e-10
671	4.99566359343801e-10
672	4.38955642263191e-10
673	4.22488545424712e-10
674	4.18277672231413e-10
675	3.95054145454962e-10
676	3.64984369401851e-10
677	3.76450935584044e-10
678	3.45729053829731e-10
679	3.45116228042273e-10
680	3.2842342492426e-10
681	3.2929885907772e-10
682	3.08935103425787e-10
683	3.10254682523649e-10
684	2.90367978577006e-10
685	2.94932123307724e-10
686	2.75257404823088e-10
687	2.69065074601694e-10
688	2.69482699970949e-10
689	2.57406830947691e-10
690	2.48570441062715e-10
691	2.43374979285957e-10
692	2.48009117014869e-10
693	2.66544034705615e-10
694	2.76388625092971e-10
695	2.46113882036445e-10
696	2.29893999936764e-10
697	2.1081251098546e-10
698	2.04894646644821e-10
699	1.85631038566871e-10
700	1.8635491463602e-10
701	1.45699617731528e-10
702	1.36282301534412e-10
703	1.84429668896959e-10
704	0
705	7.3017115817461e-11
706	0
707	7.52328135469261e-11
708	3.72805288759992e-11
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
781	0
782	0
783	0
784	0
785	0
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	0
863	0
864	0
865	0
866	0
867	0
868	0
869	0
870	0
871	0
872	0
873	0
874	0
875	0
876	0
877	0
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	0
887	0
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	0
899	0
900	0
