Data from Philips_2700K_7,3W_1535Lumen_250ms_1__0__15-14-47-545.txt Node

Date: Thu Dec 18 15:14:47 CET 2025
User: Stefan
Spectrometer: ?
Trigger mode: 0
Integration Time (sec): 2,500000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
Wavelength [nm]	Power [W]
588	2.34750866472422e-09
589	2.34376657218037e-09
590	2.32011926006937e-09
591	2.36283022118296e-09
592	2.3591216617292e-09
593	2.3152592028634e-09
594	2.30626085056171e-09
595	2.31071761070928e-09
596	2.23793164771756e-09
597	2.30604486833015e-09
598	2.31106969290461e-09
599	2.28561740936521e-09
600	2.25890936077267e-09
601	2.23385787943332e-09
602	2.24538049420251e-09
603	2.21378560078885e-09
604	2.22209998151568e-09
605	2.21922425862919e-09
606	2.19312850050129e-09
607	2.39775770502067e-09
608	2.89235754427055e-09
609	2.96010381889882e-09
610	2.64205940526949e-09
611	2.61719941068518e-09
612	3.29323038980675e-09
613	4.15021156791585e-09
614	3.96817676943875e-09
615	3.22759242616483e-09
616	2.63758716674653e-09
617	2.34208495909828e-09
618	2.27816675788274e-09
619	2.23882814802483e-09
620	2.16967957319318e-09
621	2.10487900710541e-09
622	2.02006565161538e-09
623	2.06155280160422e-09
624	2.06563000394997e-09
625	2.11554956449186e-09
626	2.1004935684329e-09
627	2.13486746851819e-09
628	2.31126105097646e-09
629	3.29085280152915e-09
630	5.75648268806726e-09
631	6.37961344447215e-09
632	5.00049218601064e-09
633	3.8050420530038e-09
634	4.18965579536763e-09
635	4.72617707894907e-09
636	3.77243249724393e-09
637	2.60444549835651e-09
638	1.89398038478488e-09
639	1.45902682587964e-09
640	1.29035404378889e-09
641	1.22972816611088e-09
642	1.16208067039771e-09
643	1.12498509803861e-09
644	1.07890986268586e-09
645	1.12120647461313e-09
646	1.35674083206848e-09
647	1.77410386029195e-09
648	1.67809741738387e-09
649	1.34735205683269e-09
650	1.16097867722759e-09
651	1.04785577861528e-09
652	1.00421743398087e-09
653	9.14319623541814e-10
654	8.77527414684572e-10
655	8.26851904873221e-10
656	8.06195038706258e-10
657	7.71391856413779e-10
658	7.2185269165339e-10
659	6.98876904194174e-10
660	6.73930232708542e-10
661	6.53112334263845e-10
662	6.28672079168312e-10
663	6.02045847523104e-10
664	5.71808354342833e-10
665	5.62690184978472e-10
666	5.41847609687052e-10
667	5.33339765982723e-10
668	5.43772181844734e-10
669	5.34598523320312e-10
670	5.14805301717299e-10
671	5.22097012853211e-10
672	4.68144077566081e-10
673	4.65754126361857e-10
674	4.52695735887438e-10
675	4.21310362915518e-10
676	4.02184506221502e-10
677	4.05591655037204e-10
678	3.77249162530132e-10
679	3.69757359850373e-10
680	3.53024640499508e-10
681	3.45437460887446e-10
682	3.3338063286242e-10
683	3.27314467845537e-10
684	3.1450210691659e-10
685	3.1071960776011e-10
686	2.9248343208889e-10
687	2.79614842486163e-10
688	2.79868314320328e-10
689	2.66409264050581e-10
690	2.70695849575915e-10
691	2.60084336875118e-10
692	2.46757806202479e-10
693	2.74522929765493e-10
694	2.62093927242522e-10
695	2.51621648937599e-10
696	2.36958946033543e-10
697	2.26400491083125e-10
698	2.06959175254315e-10
699	2.00332742191163e-10
700	1.9019171175945e-10
701	1.47439741604112e-10
702	1.53713325339044e-10
703	1.45052462583711e-10
704	9.01720671520105e-11
705	3.77335705048662e-11
706	0
707	7.13759331983203e-11
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
781	0
782	0
783	0
784	0
785	0
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	0
863	0
864	0
865	0
866	0
867	0
868	0
869	0
870	0
871	0
872	0
873	0
874	0
875	0
876	0
877	0
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	0
887	0
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	0
899	0
900	0
